,ant,frame,video,colony,date,t,x,y
1025901,2,62,3,6,1/15/17,20:18:03,44,548
1025902,2,63,3,6,1/15/17,20:18:03,56,544
1025903,2,64,3,6,1/15/17,20:18:03,76,532
1025904,2,65,3,6,1/15/17,20:18:03,92,532
1025905,2,66,3,6,1/15/17,20:18:03,104,524
1025906,2,67,3,6,1/15/17,20:18:03,116,524
1025907,2,68,3,6,1/15/17,20:18:03,128,520
1025908,2,69,3,6,1/15/17,20:18:03,140,516
1025909,2,70,3,6,1/15/17,20:18:03,148,516
1025910,2,71,3,6,1/15/17,20:18:03,156,516
1025911,2,72,3,6,1/15/17,20:18:03,168,516
1025912,2,73,3,6,1/15/17,20:18:03,184,500
1025913,2,74,3,6,1/15/17,20:18:03,192,500
1025914,2,75,3,6,1/15/17,20:18:03,208,500
1025915,2,76,3,6,1/15/17,20:18:03,224,496
1025916,2,77,3,6,1/15/17,20:18:03,244,496
1025917,2,78,3,6,1/15/17,20:18:03,260,488
1025918,2,79,3,6,1/15/17,20:18:03,276,484
1025919,2,80,3,6,1/15/17,20:18:03,292,484
1025920,2,81,3,6,1/15/17,20:18:03,304,480
1025921,2,82,3,6,1/15/17,20:18:03,312,476
1025922,2,83,3,6,1/15/17,20:18:03,324,472
1025923,2,84,3,6,1/15/17,20:18:03,324,468
1025924,2,85,3,6,1/15/17,20:18:03,324,472
1025925,2,86,3,6,1/15/17,20:18:03,324,472
1025926,2,87,3,6,1/15/17,20:18:03,320,472
1025927,2,88,3,6,1/15/17,20:18:03,320,468
1025928,2,89,3,6,1/15/17,20:18:03,316,472
1025929,2,90,3,6,1/15/17,20:18:04,316,472
1025930,2,91,3,6,1/15/17,20:18:04,316,472
1025931,2,92,3,6,1/15/17,20:18:04,312,476
1025932,2,93,3,6,1/15/17,20:18:04,312,476
1025933,2,94,3,6,1/15/17,20:18:04,312,472
1025934,2,95,3,6,1/15/17,20:18:04,312,472
1025935,2,96,3,6,1/15/17,20:18:04,308,472
1025936,2,97,3,6,1/15/17,20:18:04,308,472
1025937,2,98,3,6,1/15/17,20:18:04,304,476
1025938,2,99,3,6,1/15/17,20:18:04,300,476
1025939,2,100,3,6,1/15/17,20:18:04,296,480
1025940,2,101,3,6,1/15/17,20:18:04,296,480
1025941,2,102,3,6,1/15/17,20:18:04,300,476
1025942,2,103,3,6,1/15/17,20:18:04,300,472
1025943,2,104,3,6,1/15/17,20:18:04,300,476
1025944,2,105,3,6,1/15/17,20:18:04,300,472
1025945,2,106,3,6,1/15/17,20:18:04,300,476
1025946,2,107,3,6,1/15/17,20:18:04,300,476
1025947,2,108,3,6,1/15/17,20:18:04,304,472
1025948,2,109,3,6,1/15/17,20:18:04,308,472
1025949,2,110,3,6,1/15/17,20:18:04,304,476
1025950,2,111,3,6,1/15/17,20:18:04,308,476
1025951,2,112,3,6,1/15/17,20:18:04,308,476
1025952,2,113,3,6,1/15/17,20:18:04,308,476
1025953,2,114,3,6,1/15/17,20:18:04,308,476
1025954,2,115,3,6,1/15/17,20:18:04,308,476
1025955,2,116,3,6,1/15/17,20:18:04,300,476
1025956,2,117,3,6,1/15/17,20:18:04,300,480
1025957,2,118,3,6,1/15/17,20:18:04,300,484
1025958,2,119,3,6,1/15/17,20:18:04,296,484
1025959,2,120,3,6,1/15/17,20:18:05,296,484
1025960,2,121,3,6,1/15/17,20:18:05,296,484
1025961,2,122,3,6,1/15/17,20:18:05,292,484
1025962,2,123,3,6,1/15/17,20:18:05,292,484
1025963,2,124,3,6,1/15/17,20:18:05,288,488
1025964,2,125,3,6,1/15/17,20:18:05,288,488
1025965,2,126,3,6,1/15/17,20:18:05,288,488
1025966,2,127,3,6,1/15/17,20:18:05,284,488
1025967,2,128,3,6,1/15/17,20:18:05,288,488
1025968,2,129,3,6,1/15/17,20:18:05,292,484
1025969,2,130,3,6,1/15/17,20:18:05,292,488
1025970,2,131,3,6,1/15/17,20:18:05,288,484
1025971,2,132,3,6,1/15/17,20:18:05,280,488
1025972,2,133,3,6,1/15/17,20:18:05,280,484
1025973,2,134,3,6,1/15/17,20:18:05,284,488
1025974,2,135,3,6,1/15/17,20:18:05,280,492
1025975,2,136,3,6,1/15/17,20:18:05,324,512
1025976,2,137,3,6,1/15/17,20:18:05,320,516
1025977,2,138,3,6,1/15/17,20:18:05,320,520
1025978,2,139,3,6,1/15/17,20:18:05,316,520
1025979,2,140,3,6,1/15/17,20:18:05,308,532
1025980,2,141,3,6,1/15/17,20:18:05,300,548
1025981,2,142,3,6,1/15/17,20:18:05,292,560
1025982,2,143,3,6,1/15/17,20:18:05,288,564
1025983,2,144,3,6,1/15/17,20:18:05,292,564
1025984,2,145,3,6,1/15/17,20:18:05,284,568
1025985,2,146,3,6,1/15/17,20:18:05,284,572
1025986,2,147,3,6,1/15/17,20:18:05,288,572
1025987,2,148,3,6,1/15/17,20:18:05,288,568
1025988,2,149,3,6,1/15/17,20:18:05,272,528
1025989,2,150,3,6,1/15/17,20:18:06,272,520
1025990,2,151,3,6,1/15/17,20:18:06,280,516
1025991,2,152,3,6,1/15/17,20:18:06,284,516
1025992,2,153,3,6,1/15/17,20:18:06,292,516
1025993,2,154,3,6,1/15/17,20:18:06,300,516
1025994,2,155,3,6,1/15/17,20:18:06,304,516
1025995,2,156,3,6,1/15/17,20:18:06,320,516
1025996,2,157,3,6,1/15/17,20:18:06,324,516
1025997,2,158,3,6,1/15/17,20:18:06,332,516
1025998,2,159,3,6,1/15/17,20:18:06,332,512
1025999,2,160,3,6,1/15/17,20:18:06,340,508
1026000,2,161,3,6,1/15/17,20:18:06,348,508
1026001,2,162,3,6,1/15/17,20:18:06,348,500
1026002,2,163,3,6,1/15/17,20:18:06,348,496
1026003,2,164,3,6,1/15/17,20:18:06,352,492
1026004,2,165,3,6,1/15/17,20:18:06,372,488
1026005,2,166,3,6,1/15/17,20:18:06,392,488
1026006,2,167,3,6,1/15/17,20:18:06,396,488
1026007,2,168,3,6,1/15/17,20:18:06,408,488
1026008,2,169,3,6,1/15/17,20:18:06,404,488
1026009,2,170,3,6,1/15/17,20:18:06,408,484
1026010,2,171,3,6,1/15/17,20:18:06,420,480
1026011,2,172,3,6,1/15/17,20:18:06,444,468
1026012,2,173,3,6,1/15/17,20:18:06,468,452
1026013,2,174,3,6,1/15/17,20:18:06,496,436
1026014,2,175,3,6,1/15/17,20:18:06,524,424
1026015,2,176,3,6,1/15/17,20:18:06,544,420
1026016,2,177,3,6,1/15/17,20:18:06,572,416
1026017,2,178,3,6,1/15/17,20:18:06,596,412
1026018,2,179,3,6,1/15/17,20:18:06,628,408
1026019,2,180,3,6,1/15/17,20:18:07,656,416
1026020,2,181,3,6,1/15/17,20:18:07,680,412
