,ant,frame,video,colony,date,t,x,y
0,2,15405,1,1,1/11/17,20:12:17,1812,360
1,2,15406,1,1,1/11/17,20:12:17,1808,368
2,2,15407,1,1,1/11/17,20:12:17,1804,368
3,2,15408,1,1,1/11/17,20:12:17,1804,368
4,2,15409,1,1,1/11/17,20:12:17,1800,372
5,2,15410,1,1,1/11/17,20:12:17,1756,372
6,2,15411,1,1,1/11/17,20:12:17,1756,372
7,2,15412,1,1,1/11/17,20:12:17,1760,372
8,2,15413,1,1,1/11/17,20:12:17,1760,376
9,2,15414,1,1,1/11/17,20:12:17,1760,372
10,2,15415,1,1,1/11/17,20:12:17,1752,380
11,2,15416,1,1,1/11/17,20:12:17,1756,380
12,2,15417,1,1,1/11/17,20:12:17,1752,384
13,2,15418,1,1,1/11/17,20:12:17,1752,384
14,2,15419,1,1,1/11/17,20:12:17,1756,384
15,2,15420,1,1,1/11/17,20:12:17,1756,388
16,2,15421,1,1,1/11/17,20:12:17,1744,384
17,2,15422,1,1,1/11/17,20:12:17,1724,376
18,2,15423,1,1,1/11/17,20:12:17,1696,360
19,2,15424,1,1,1/11/17,20:12:17,1692,352
20,2,15425,1,1,1/11/17,20:12:17,1628,344
21,2,15426,1,1,1/11/17,20:12:18,1616,348
22,2,15427,1,1,1/11/17,20:12:18,1572,356
23,2,15428,1,1,1/11/17,20:12:18,1544,364
24,2,15429,1,1,1/11/17,20:12:18,1524,368
25,2,15430,1,1,1/11/17,20:12:18,1496,376
26,2,15431,1,1,1/11/17,20:12:18,1468,388
27,2,15432,1,1,1/11/17,20:12:18,1444,392
28,2,15433,1,1,1/11/17,20:12:18,1432,404
29,2,15434,1,1,1/11/17,20:12:18,1400,404
30,2,15435,1,1,1/11/17,20:12:18,1392,416
31,2,15436,1,1,1/11/17,20:12:18,1384,420
32,2,15437,1,1,1/11/17,20:12:18,1384,432
33,2,15438,1,1,1/11/17,20:12:18,1344,468
34,2,15439,1,1,1/11/17,20:12:18,1336,488
35,2,15440,1,1,1/11/17,20:12:18,1324,508
36,2,15441,1,1,1/11/17,20:12:18,1304,520
37,2,15442,1,1,1/11/17,20:12:18,1292,532
38,2,15443,1,1,1/11/17,20:12:18,1260,544
39,2,15444,1,1,1/11/17,20:12:18,1244,548
40,2,15445,1,1,1/11/17,20:12:18,1224,556
41,2,15446,1,1,1/11/17,20:12:18,1188,568
42,2,15447,1,1,1/11/17,20:12:18,1140,600
43,2,15448,1,1,1/11/17,20:12:18,1128,604
44,2,15449,1,1,1/11/17,20:12:18,1076,624
45,2,15450,1,1,1/11/17,20:12:18,1056,632
46,2,15451,1,1,1/11/17,20:12:19,1020,652
47,2,15452,1,1,1/11/17,20:12:19,992,652
48,2,15453,1,1,1/11/17,20:12:19,960,672
49,2,15454,1,1,1/11/17,20:12:19,940,692
50,2,15455,1,1,1/11/17,20:12:19,912,704
51,2,15456,1,1,1/11/17,20:12:19,892,720
52,2,15457,1,1,1/11/17,20:12:19,872,740
53,2,15458,1,1,1/11/17,20:12:19,828,768
54,2,15459,1,1,1/11/17,20:12:19,808,792
55,2,15460,1,1,1/11/17,20:12:19,780,816
56,2,15461,1,1,1/11/17,20:12:19,768,828
57,2,15462,1,1,1/11/17,20:12:19,768,828
58,2,15463,1,1,1/11/17,20:12:19,688,872
59,2,15464,1,1,1/11/17,20:12:19,684,868
60,2,15465,1,1,1/11/17,20:12:19,688,864
61,2,15466,1,1,1/11/17,20:12:19,684,864
62,2,15467,1,1,1/11/17,20:12:19,684,864
63,2,15468,1,1,1/11/17,20:12:19,684,860
64,2,15469,1,1,1/11/17,20:12:19,684,864
65,2,15470,1,1,1/11/17,20:12:19,684,864
66,2,15471,1,1,1/11/17,20:12:19,676,864
67,2,15472,1,1,1/11/17,20:12:19,672,860
68,2,15473,1,1,1/11/17,20:12:19,668,860
69,2,15474,1,1,1/11/17,20:12:19,668,864
70,2,15475,1,1,1/11/17,20:12:19,672,864
71,2,15476,1,1,1/11/17,20:12:20,672,864
72,2,15477,1,1,1/11/17,20:12:20,672,864
73,2,15478,1,1,1/11/17,20:12:20,672,872
74,2,15479,1,1,1/11/17,20:12:20,664,880
75,2,15480,1,1,1/11/17,20:12:20,640,904
76,2,15481,1,1,1/11/17,20:12:20,640,912
77,2,15482,1,1,1/11/17,20:12:20,628,928
78,2,15483,1,1,1/11/17,20:12:20,616,940
79,2,15484,1,1,1/11/17,20:12:20,604,960
80,2,15485,1,1,1/11/17,20:12:20,588,968
81,2,15486,1,1,1/11/17,20:12:20,564,968
82,2,15487,1,1,1/11/17,20:12:20,536,976
83,2,15488,1,1,1/11/17,20:12:20,524,980
84,2,15489,1,1,1/11/17,20:12:20,512,984
85,2,15490,1,1,1/11/17,20:12:20,500,988
86,2,15491,1,1,1/11/17,20:12:20,488,992
87,2,15492,1,1,1/11/17,20:12:20,476,996
88,2,15493,1,1,1/11/17,20:12:20,416,992
89,2,15494,1,1,1/11/17,20:12:20,384,1000
90,2,15495,1,1,1/11/17,20:12:20,372,1004
91,2,15496,1,1,1/11/17,20:12:20,376,1012
92,2,15497,1,1,1/11/17,20:12:20,340,1004
93,2,15498,1,1,1/11/17,20:12:20,340,1000
94,2,15499,1,1,1/11/17,20:12:20,332,1000
95,2,15500,1,1,1/11/17,20:12:20,328,1000
96,2,15501,1,1,1/11/17,20:12:21,324,1000
97,2,15502,1,1,1/11/17,20:12:21,316,996
98,2,15503,1,1,1/11/17,20:12:21,296,1004
99,2,15504,1,1,1/11/17,20:12:21,292,1004
100,2,15505,1,1,1/11/17,20:12:21,268,1016
101,2,15506,1,1,1/11/17,20:12:21,248,1008
102,2,15507,1,1,1/11/17,20:12:21,240,1008
103,2,15508,1,1,1/11/17,20:12:21,236,1004
104,2,15509,1,1,1/11/17,20:12:21,240,1012
105,2,15510,1,1,1/11/17,20:12:21,248,1016
106,2,15511,1,1,1/11/17,20:12:21,232,1020
107,2,15512,1,1,1/11/17,20:12:21,220,1024
108,2,15513,1,1,1/11/17,20:12:21,220,1024
109,2,15514,1,1,1/11/17,20:12:21,200,1016
110,2,15515,1,1,1/11/17,20:12:21,204,1012
111,2,15516,1,1,1/11/17,20:12:21,204,1012
112,2,15517,1,1,1/11/17,20:12:21,208,1008
113,2,15518,1,1,1/11/17,20:12:21,208,1008
114,2,15519,1,1,1/11/17,20:12:21,224,1008
115,2,15520,1,1,1/11/17,20:12:21,224,1008
116,2,15521,1,1,1/11/17,20:12:21,224,1008
117,2,15522,1,1,1/11/17,20:12:21,216,992
118,2,15523,1,1,1/11/17,20:12:21,208,980
119,2,15524,1,1,1/11/17,20:12:21,204,972
120,2,15525,1,1,1/11/17,20:12:21,200,964
121,2,15526,1,1,1/11/17,20:12:22,200,956
122,2,15527,1,1,1/11/17,20:12:22,136,940
123,2,15528,1,1,1/11/17,20:12:22,116,936
124,2,15529,1,1,1/11/17,20:12:22,88,916
125,2,15530,1,1,1/11/17,20:12:22,56,912
126,3,15412,1,1,1/11/17,20:12:17,1612,864
127,3,15413,1,1,1/11/17,20:12:17,1612,868
128,3,15414,1,1,1/11/17,20:12:17,1600,868
129,3,15415,1,1,1/11/17,20:12:17,1596,872
130,3,15416,1,1,1/11/17,20:12:17,1596,872
131,3,15417,1,1,1/11/17,20:12:17,1544,880
132,3,15418,1,1,1/11/17,20:12:17,1532,884
133,3,15419,1,1,1/11/17,20:12:17,1516,884
134,3,15420,1,1,1/11/17,20:12:17,1500,884
135,3,15421,1,1,1/11/17,20:12:17,1476,888
136,3,15422,1,1,1/11/17,20:12:17,1452,884
137,3,15423,1,1,1/11/17,20:12:17,1436,896
138,3,15424,1,1,1/11/17,20:12:17,1404,892
139,3,15425,1,1,1/11/17,20:12:17,1388,896
140,3,15426,1,1,1/11/17,20:12:18,1372,900
141,3,15427,1,1,1/11/17,20:12:18,1340,904
142,3,15428,1,1,1/11/17,20:12:18,1324,908
143,3,15429,1,1,1/11/17,20:12:18,1308,912
144,3,15430,1,1,1/11/17,20:12:18,1300,912
145,3,15431,1,1,1/11/17,20:12:18,1296,912
