,ant,frame,video,colony,date,t,x,y
1002859,14,40330,1,6,1/15/17,19:48:26,288,816
1002860,14,40331,1,6,1/15/17,19:48:26,292,832
1002861,14,40332,1,6,1/15/17,19:48:26,320,832
1002862,14,40333,1,6,1/15/17,19:48:26,344,828
1002863,14,40334,1,6,1/15/17,19:48:26,356,828
1002864,14,40335,1,6,1/15/17,19:48:26,356,828
1002865,14,40336,1,6,1/15/17,19:48:26,356,808
1002866,14,40337,1,6,1/15/17,19:48:26,420,796
1002867,14,40338,1,6,1/15/17,19:48:26,424,796
1002868,14,40339,1,6,1/15/17,19:48:26,500,720
1002869,14,40340,1,6,1/15/17,19:48:27,500,736
1002870,14,40341,1,6,1/15/17,19:48:27,428,708
1002871,14,40342,1,6,1/15/17,19:48:27,424,716
1002872,14,40343,1,6,1/15/17,19:48:27,420,720
1002873,14,40344,1,6,1/15/17,19:48:27,420,720
1002874,14,40345,1,6,1/15/17,19:48:27,420,716
1002875,14,40346,1,6,1/15/17,19:48:27,444,720
1002876,14,40347,1,6,1/15/17,19:48:27,468,724
1002877,14,40348,1,6,1/15/17,19:48:27,464,728
1002878,14,40349,1,6,1/15/17,19:48:27,472,716
1002879,14,40350,1,6,1/15/17,19:48:27,492,708
1002880,14,40351,1,6,1/15/17,19:48:27,496,708
1002881,14,40352,1,6,1/15/17,19:48:27,512,700
1002882,14,40353,1,6,1/15/17,19:48:27,520,700
1002883,14,40354,1,6,1/15/17,19:48:27,524,692
1002884,14,40355,1,6,1/15/17,19:48:27,540,696
1002885,14,40356,1,6,1/15/17,19:48:27,548,696
1002886,14,40357,1,6,1/15/17,19:48:27,548,692
1002887,14,40358,1,6,1/15/17,19:48:27,580,680
1002888,14,40359,1,6,1/15/17,19:48:27,584,684
1002889,14,40360,1,6,1/15/17,19:48:27,600,664
1002890,14,40361,1,6,1/15/17,19:48:27,608,656
1002891,14,40362,1,6,1/15/17,19:48:27,616,648
1002892,14,40363,1,6,1/15/17,19:48:27,628,640
1002893,14,40364,1,6,1/15/17,19:48:27,640,632
1002894,14,40365,1,6,1/15/17,19:48:27,660,624
1002895,14,40366,1,6,1/15/17,19:48:27,676,620
1002896,14,40367,1,6,1/15/17,19:48:27,684,616
1002897,14,40368,1,6,1/15/17,19:48:27,684,612
1002898,14,40369,1,6,1/15/17,19:48:27,684,604
1002899,14,40370,1,6,1/15/17,19:48:28,684,600
1002900,14,40371,1,6,1/15/17,19:48:28,688,592
1002901,14,40372,1,6,1/15/17,19:48:28,688,580
1002902,14,40373,1,6,1/15/17,19:48:28,688,572
1002903,14,40374,1,6,1/15/17,19:48:28,700,552
1002904,14,40375,1,6,1/15/17,19:48:28,692,552
1002905,14,40376,1,6,1/15/17,19:48:28,696,548
1002906,14,40377,1,6,1/15/17,19:48:28,708,540
1002907,14,40378,1,6,1/15/17,19:48:28,728,524
1002908,14,40379,1,6,1/15/17,19:48:28,744,516
1002909,14,40380,1,6,1/15/17,19:48:28,776,504
1002910,14,40381,1,6,1/15/17,19:48:28,792,488
